node1,node2	space	relation_type
1218,1441	latent_space	1
1218,494	latent_space	3
1218,1281	latent_space	0
326,325	latent_space	3
326,490	latent_space	3
326,571	latent_space	1
326,648	latent_space	0
326,344	latent_space	2
326,340	latent_space	0
326,712	latent_space	2
326,338	latent_space	0
326,581	latent_space	0
326,639	latent_space	0
326,542	latent_space	0
326,261	latent_space	1
326,252	latent_space	1
326,1048	latent_space	1
326,573	latent_space	1
326,304	latent_space	0
326,319	latent_space	0
326,715	latent_space	3
326,602	latent_space	1
326,332	latent_space	0
326,339	latent_space	3
326,336	latent_space	0
326,569	latent_space	1
326,505	latent_space	2
326,327	latent_space	3
326,266	latent_space	1
326,579	latent_space	3
326,323	latent_space	3
326,342	latent_space	0
326,274	latent_space	0
326,492	latent_space	3
326,604	latent_space	1
326,1056	latent_space	1
326,337	latent_space	0
326,502	latent_space	2
326,541	latent_space	1
326,182	latent_space	1
326,343	latent_space	0
326,295	latent_space	3
326,572	latent_space	1
326,499	latent_space	0
488,707	latent_space	0
488,611	latent_space	0
488,2236	latent_space	3
488,1087	latent_space	0
488,387	latent_space	3
488,1980	latent_space	3
488,1086	latent_space	3
488,1252	latent_space	0
296,330	latent_space	0
296,1148	latent_space	2
296,436	latent_space	0
296,384	latent_space	3
296,150	latent_space	1
296,253	latent_space	0
296,741	latent_space	0
296,644	latent_space	3
296,433	latent_space	2
296,17	latent_space	1
296,437	latent_space	0
296,379	latent_space	1
296,247	latent_space	3
296,351	latent_space	0
296,32	latent_space	0
296,62	latent_space	0
296,456	latent_space	0
296,362	latent_space	3
296,14	latent_space	0
296,235	latent_space	0
296,66	latent_space	0
296,806	latent_space	2
296,275	latent_space	2
296,445	latent_space	0
296,202	latent_space	3
296,347	latent_space	0
296,434	latent_space	0
296,472	latent_space	0
296,216	latent_space	0
296,385	latent_space	1
296,898	latent_space	0
296,479	latent_space	0
296,822	latent_space	3
296,8	latent_space	0
296,804	latent_space	2
296,412	latent_space	3
296,92	latent_space	1
296,355	latent_space	0
296,22	latent_space	2
296,33	latent_space	0
296,36	latent_space	0
296,48	latent_space	0
296,223	latent_space	0
296,122	latent_space	3
296,27	latent_space	2
296,468	latent_space	0
296,386	latent_space	3
296,73	latent_space	0
296,448	latent_space	0
296,302	latent_space	0
296,566	latent_space	3
296,89	latent_space	0
296,543	latent_space	3
296,428	latent_space	0
296,303	latent_space	0
296,440	latent_space	0
296,137	latent_space	0
296,818	latent_space	2
296,68	latent_space	0
296,113	latent_space	0
296,413	latent_space	3
296,556	latent_space	0
296,408	latent_space	0
296,219	latent_space	0
296,148	latent_space	1
296,60	latent_space	2
296,41	latent_space	0
296,470	latent_space	0
296,37	latent_space	0
296,576	latent_space	0
296,422	latent_space	3
296,140	latent_space	0
296,619	latent_space	0
