node1,node2	space	relation_type
3484,3142	latent_space	0
365,827	latent_space	0
365,374	latent_space	0
365,615	latent_space	0
365,510	latent_space	3
365,216	latent_space	0
3039,3445	latent_space	0
3039,3452	latent_space	3
1037,1540	latent_space	0
1595,1312	latent_space	3
1595,1576	latent_space	3
2335,2338	latent_space	3
2526,2525	latent_space	1
1664,2048	latent_space	2
560,203	latent_space	3
3922,4022	latent_space	0
4134,3523	latent_space	3
4134,4106	latent_space	3
4134,4204	latent_space	0
4134,3875	latent_space	0
1765,2191	latent_space	2
3593,3909	latent_space	1
3593,3964	latent_space	2
3593,3917	latent_space	1
3593,4016	latent_space	1
3593,3555	latent_space	3
3593,3637	latent_space	0
3593,3654	latent_space	3
3593,3723	latent_space	2
4065,4219	latent_space	0
4065,4119	latent_space	3
4065,3631	latent_space	0
4065,3837	latent_space	3
2398,2273	latent_space	3
2306,2840	latent_space	3
2306,2355	latent_space	2
1186,1500	latent_space	0
1186,1192	latent_space	0
3481,3389	latent_space	2
3481,3508	latent_space	3
3481,3132	latent_space	1
87,217	latent_space	3
87,83	latent_space	3
3972,4195	latent_space	3
3426,3507	latent_space	3
2334,2665	latent_space	1
1861,2183	latent_space	0
1861,1862	latent_space	3
3769,4192	latent_space	0
3769,3890	latent_space	0
1329,1563	latent_space	2
1497,1498	latent_space	2
2158,1694	latent_space	2
2158,1766	latent_space	2
575,337	latent_space	3
575,641	latent_space	0
575,327	latent_space	0
433,434	latent_space	3
2189,1887	latent_space	1
2189,2044	latent_space	0
2189,2115	latent_space	3
1415,1061	latent_space	2
1951,1952	latent_space	1
1951,1976	latent_space	1
2598,2270	latent_space	0
2598,2272	latent_space	0
3363,3089	latent_space	3
3363,3131	latent_space	0
3363,2951	latent_space	3
3601,3788	latent_space	2
3601,3740	latent_space	1
1969,1967	latent_space	2
3050,3480	latent_space	3
524,533	latent_space	1
524,603	latent_space	1
524,36	latent_space	0
4172,3568	latent_space	3
4099,3957	latent_space	3
4099,4206	latent_space	0
1391,1222	latent_space	1
1391,1049	latent_space	1
1391,1171	latent_space	1
2742,2767	latent_space	0
2742,2768	latent_space	0
4107,3809	latent_space	3
4107,3523	latent_space	0
4107,4106	latent_space	0
4107,4173	latent_space	3
4107,4030	latent_space	3
2031,2039	latent_space	1
340,673	latent_space	3
340,770	latent_space	3
340,574	latent_space	0
1502,1241	latent_space	1
1502,1042	latent_space	2
3339,3340	latent_space	0
2153,1873	latent_space	2
2932,2933	latent_space	3
2932,3461	latent_space	3
2710,2394	latent_space	0
1343,1789	latent_space	3
2233,2374	latent_space	3
667,48	latent_space	0
3635,3636	latent_space	3
3635,3708	latent_space	3
3635,4178	latent_space	3
3635,3532	latent_space	2
1588,1132	latent_space	0
1588,1349	latent_space	1
2252,2217	latent_space	2
2252,2251	latent_space	1
836,1057	latent_space	0
836,271	latent_space	3
836,1403	latent_space	0
836,837	latent_space	3
393,680	latent_space	2
393,613	latent_space	2
1921,1718	latent_space	2
3014,3015	latent_space	0
3506,3243	latent_space	2
3821,3714	latent_space	2
3032,3429	latent_space	1
3006,3214	latent_space	3
3006,3152	latent_space	3
1080,1189	latent_space	2
1080,1175	latent_space	2
1359,1257	latent_space	0
1359,1373	latent_space	0
1359,1292	latent_space	0
1359,1048	latent_space	2
1359,1632	latent_space	0
959,1027	latent_space	1
959,1338	latent_space	1
959,1416	latent_space	1
959,1575	latent_space	2
3035,3036	latent_space	3
3803,3802	latent_space	3
901,1249	latent_space	0
1783,2160	latent_space	1
147,372	latent_space	0
996,166	latent_space	3
996,606	latent_space	0
996,754	latent_space	3
1364,1465	latent_space	0
2084,2193	latent_space	1
2084,2005	latent_space	3
2084,2155	latent_space	0
2084,2185	latent_space	3
512,563	latent_space	3
512,780	latent_space	0
2136,1745	latent_space	3
2136,2175	latent_space	0
2003,1817	latent_space	3
429,262	latent_space	3
194,123	latent_space	3
194,622	latent_space	3
194,106	latent_space	0
2364,2365	latent_space	1
673,718	latent_space	3
673,340	latent_space	0
673,770	latent_space	0
673,327	latent_space	3
1841,1901	latent_space	3
1841,1833	latent_space	1
1841,2090	latent_space	0
535,2013	latent_space	1
535,272	latent_space	0
535,309	latent_space	1
535,496	latent_space	3
535,19	latent_space	0
3389,3176	latent_space	3
3389,3481	latent_space	1
3731,3745	latent_space	0
591,796	latent_space	3
591,121	latent_space	3
2044,1977	latent_space	0
2044,2189	latent_space	3
489,178	latent_space	3
1677,2032	latent_space	3
2019,1686	latent_space	1
1546,1446	latent_space	1
1546,1639	latent_space	0
1546,850	latent_space	1
1633,1580	latent_space	0
1633,252	latent_space	3
1633,949	latent_space	0
1310,1309	latent_space	3
1876,2133	latent_space	3
130,555	latent_space	3
3075,3077	latent_space	2
3075,3300	latent_space	0
3075,3385	latent_space	2
577,183	latent_space	3
577,520	latent_space	0
577,800	latent_space	3
1139,838	latent_space	2
1139,1281	latent_space	1
669,769	latent_space	2
669,403	latent_space	0
669,316	latent_space	2
669,540	latent_space	3
1526,826	latent_space	1
2290,2460	latent_space	0
3011,3353	latent_space	0
3011,3205	latent_space	3
3011,3465	latent_space	3
166,996	latent_space	0
166,606	latent_space	0
166,754	latent_space	3
166,659	latent_space	3
2854,2336	latent_space	3
4175,3551	latent_space	2
202,655	latent_space	2
3076,3385	latent_space	0
2699,2324	latent_space	1
2699,2794	latent_space	1
3791,3629	latent_space	0
4178,3636	latent_space	2
4178,3708	latent_space	2
4178,3635	latent_space	0
3413,2931	latent_space	0
566,722	latent_space	3
566,750	latent_space	0
1363,1149	latent_space	1
1363,1225	latent_space	2
1363,892	latent_space	1
3903,3902	latent_space	0
3318,3321	latent_space	2
3318,1128	latent_space	2
3318,3171	latent_space	0
3318,3509	latent_space	3
3318,3191	latent_space	2
3318,3449	latent_space	0
2120,1665	latent_space	2
2120,2141	latent_space	1
2120,1752	latent_space	1
2120,1666	latent_space	2
350,351	latent_space	3
2610,2685	latent_space	0
1981,1741	latent_space	1
3935,3582	latent_space	0
3935,3584	latent_space	3
3935,3896	latent_space	0
216,827	latent_space	3
216,365	latent_space	3
216,374	latent_space	3
216,615	latent_space	1
216,82	latent_space	0
2740,2388	latent_space	1
2010,2040	latent_space	1
2010,1684	latent_space	2
2010,1752	latent_space	2
2010,2091	latent_space	1
1738,2127	latent_space	3
3303,3025	latent_space	1
4204,3907	latent_space	0
4204,3523	latent_space	3
4204,4134	latent_space	3
4204,3875	latent_space	0
3293,3202	latent_space	0
3293,3256	latent_space	2
3293,2984	latent_space	0
192,184	latent_space	0
192,554	latent_space	3
192,544	latent_space	0
192,558	latent_space	3
3943,3976	latent_space	0
2008,2127	latent_space	0
163,738	latent_space	3
327,673	latent_space	0
327,641	latent_space	1
327,718	latent_space	0
327,575	latent_space	3
494,580	latent_space	1
2324,2699	latent_space	2
2324,2794	latent_space	1
1051,1052	latent_space	1
1567,1035	latent_space	0
1567,1407	latent_space	3
1567,1412	latent_space	3
1172,1217	latent_space	0
1807,1897	latent_space	3
254,523	latent_space	1
1361,1597	latent_space	3
1361,1627	latent_space	0
1361,895	latent_space	3
1361,1600	latent_space	3
1237,1285	latent_space	2
3833,3879	latent_space	3
3833,3638	latent_space	1
3833,3644	latent_space	1
3833,4153	latent_space	1
3833,3556	latent_space	1
3833,4205	latent_space	2
3833,4027	latent_space	3
3833,4146	latent_space	3
3833,4162	latent_space	2
85,685	latent_space	3
85,8	latent_space	0
3211,3370	latent_space	1
3211,3427	latent_space	3
902,1620	latent_space	3
902,907	latent_space	3
902,1038	latent_space	3
668,358	latent_space	0
668,682	latent_space	0
668,604	latent_space	3
570,661	latent_space	0
570,773	latent_space	0
820,1593	latent_space	0
2081,2072	latent_space	2
2394,2710	latent_space	3
2850,2519	latent_space	0
2850,2884	latent_space	0
2952,2955	latent_space	0
3702,4040	latent_space	1
1643,1083	latent_space	0
3002,3000	latent_space	0
529,277	latent_space	3
529,599	latent_space	0
2357,2733	latent_space	0
2357,2519	latent_space	3
2357,2356	latent_space	0
2357,2884	latent_space	1
2018,1978	latent_space	3
2018,2047	latent_space	1
2018,2147	latent_space	0
