node1,node2	space	relation_type
4067,4066	latent_space	3
3784,3816	latent_space	0
3784,3785	latent_space	0
4194,4193	latent_space	3
3716,4096	latent_space	1
3716,3746	latent_space	1
2409,2410	latent_space	2
2409,2674	latent_space	2
3088,3363	latent_space	0
1136,1090	latent_space	0
1136,1089	latent_space	3
3479,3478	latent_space	0
3235,3359	latent_space	0
1728,1937	latent_space	1
839,1057	latent_space	0
2926,3486	latent_space	0
2926,2925	latent_space	2
2926,2927	latent_space	2
1374,1375	latent_space	0
2967,2965	latent_space	1
2159,1780	latent_space	2
2159,1879	latent_space	2
705,295	latent_space	0
1697,1698	latent_space	1
3362,2906	latent_space	0
187,374	latent_space	3
3598,3597	latent_space	0
4031,3968	latent_space	1
4031,3556	latent_space	1
4031,3557	latent_space	1
3360,3361	latent_space	0
1089,1136	latent_space	0
363,286	latent_space	0
363,808	latent_space	2
363,454	latent_space	2
363,206	latent_space	0
363,346	latent_space	0
3287,3027	latent_space	0
3287,3026	latent_space	0
3741,4057	latent_space	0
3741,3740	latent_space	2
3741,3812	latent_space	1
1617,1601	latent_space	1
1617,1243	latent_space	3
4131,3808	latent_space	1
4131,3809	latent_space	1
3499,3500	latent_space	2
2075,2180	latent_space	0
2075,2076	latent_space	0
3452,3453	latent_space	3
2885,2884	latent_space	2
2885,2886	latent_space	2
3592,3936	latent_space	3
639,638	latent_space	0
3764,3765	latent_space	3
2291,2290	latent_space	0
2291,2529	latent_space	1
2291,2482	latent_space	1
2291,2777	latent_space	3
3919,3715	latent_space	2
3919,3714	latent_space	3
957,1278	latent_space	1
3769,3624	latent_space	0
3769,3762	latent_space	0
2511,2510	latent_space	1
4027,4028	latent_space	0
4188,3653	latent_space	2
496,79	latent_space	3
4184,3986	latent_space	3
4184,3987	latent_space	1
4184,4135	latent_space	1
469,197	latent_space	0
2146,1866	latent_space	3
2146,2127	latent_space	2
2146,1902	latent_space	2
2146,1867	latent_space	2
2893,2894	latent_space	3
2725,2652	latent_space	0
2820,2819	latent_space	2
3041,3046	latent_space	1
2771,2772	latent_space	3
1375,1374	latent_space	3
2488,2486	latent_space	2
2488,2487	latent_space	1
2488,2489	latent_space	0
2488,2490	latent_space	3
3343,3449	latent_space	1
3343,3248	latent_space	2
3343,3249	latent_space	2
3053,3052	latent_space	3
3053,3321	latent_space	0
3376,3375	latent_space	1
2280,2279	latent_space	0
3726,3692	latent_space	0
4037,3946	latent_space	1
4037,3515	latent_space	1
4037,3516	latent_space	1
4208,4221	latent_space	1
4208,4160	latent_space	1
4208,4161	latent_space	1
26,294	latent_space	1
2335,2336	latent_space	1
2335,2448	latent_space	1
2786,2234	latent_space	0
2786,2233	latent_space	0
