node1,node2	space	relation_type
3483,2295	latent_space	2
3283,3649	latent_space	2
1461,3805	latent_space	1
1461,2362	latent_space	1
1461,3885	latent_space	0
1461,2174	latent_space	0
1461,2535	latent_space	1
1461,3084	latent_space	3
1461,3665	latent_space	0
1461,1506	latent_space	3
2047,1038	latent_space	0
2047,4117	latent_space	2
2047,4168	latent_space	0
277,399	latent_space	1
277,4199	latent_space	0
277,331	latent_space	2
1544,3347	latent_space	0
1544,1579	latent_space	0
602,3265	latent_space	1
602,2177	latent_space	3
3521,2281	latent_space	1
2836,3936	latent_space	2
2836,2294	latent_space	0
2836,4150	latent_space	1
2836,1830	latent_space	2
2836,3437	latent_space	0
2836,2290	latent_space	0
2499,2976	latent_space	1
2499,3159	latent_space	2
2499,1692	latent_space	1
3668,2648	latent_space	0
3668,1996	latent_space	2
3668,3599	latent_space	3
3668,3158	latent_space	1
2314,3362	latent_space	2
2314,3692	latent_space	3
2755,3034	latent_space	3
3214,3335	latent_space	0
3214,961	latent_space	1
1185,1465	latent_space	0
1185,1171	latent_space	0
3070,3108	latent_space	1
3070,2760	latent_space	2
3070,2133	latent_space	0
3070,3028	latent_space	1
3638,1250	latent_space	0
3638,2371	latent_space	0
3638,1413	latent_space	1
1711,3103	latent_space	1
1788,3713	latent_space	2
3620,693	latent_space	2
3620,2682	latent_space	3
425,181	latent_space	1
2689,361	latent_space	1
2689,3697	latent_space	0
3739,1693	latent_space	2
3739,1494	latent_space	2
3739,2598	latent_space	1
2025,3844	latent_space	0
2025,2082	latent_space	2
3191,3083	latent_space	3
1907,2704	latent_space	1
1907,3412	latent_space	2
3810,1597	latent_space	2
3810,2818	latent_space	0
3810,2198	latent_space	0
3810,2303	latent_space	2
3810,3071	latent_space	2
3810,1006	latent_space	1
3810,3945	latent_space	0
3810,3624	latent_space	3
4066,3012	latent_space	2
4066,2490	latent_space	3
4066,3035	latent_space	3
4066,3837	latent_space	1
868,1872	latent_space	2
868,2469	latent_space	3
868,3829	latent_space	2
868,4004	latent_space	3
868,1392	latent_space	1
169,1988	latent_space	3
1391,2150	latent_space	1
1391,970	latent_space	3
1391,594	latent_space	0
1996,3155	latent_space	3
1996,3599	latent_space	1
1996,4036	latent_space	2
1996,2648	latent_space	0
1996,3668	latent_space	1
1996,713	latent_space	0
2970,4083	latent_space	3
2970,2363	latent_space	1
2970,3399	latent_space	3
2970,1243	latent_space	2
2970,2947	latent_space	3
3987,2437	latent_space	2
3987,3320	latent_space	3
3987,3266	latent_space	3
2346,3442	latent_space	0
4052,2778	latent_space	1
4052,407	latent_space	2
4052,3872	latent_space	2
4052,2554	latent_space	0
4052,729	latent_space	3
4052,521	latent_space	3
3099,2656	latent_space	1
2062,3331	latent_space	2
2226,7	latent_space	1
2226,2247	latent_space	2
2226,2779	latent_space	0
2226,1918	latent_space	2
2226,1750	latent_space	0
3373,2537	latent_space	3
3373,3415	latent_space	2
3789,811	latent_space	3
3789,2531	latent_space	1
3789,293	latent_space	0
3789,718	latent_space	3
3789,1576	latent_space	0
3136,2997	latent_space	2
3136,1895	latent_space	0
3136,2018	latent_space	0
2338,1994	latent_space	0
2338,2622	latent_space	1
2338,2714	latent_space	0
2338,3359	latent_space	1
2338,366	latent_space	2
2338,776	latent_space	1
2338,2934	latent_space	3
2338,996	latent_space	0
2338,3562	latent_space	1
2338,1814	latent_space	0
2864,2181	latent_space	1
2864,1877	latent_space	1
2864,2328	latent_space	2
2864,2769	latent_space	0
2538,2123	latent_space	2
2538,1200	latent_space	2
2538,638	latent_space	3
2538,348	latent_space	2
2538,1371	latent_space	1
2538,373	latent_space	3
1549,654	latent_space	3
1549,895	latent_space	3
1549,1522	latent_space	0
3732,2763	latent_space	3
3732,4218	latent_space	3
3713,2799	latent_space	0
3713,1609	latent_space	0
3713,1788	latent_space	1
4227,3163	latent_space	0
3771,3233	latent_space	2
3771,1932	latent_space	3
3450,2155	latent_space	3
3450,2459	latent_space	1
1774,2456	latent_space	3
468,382	latent_space	1
468,4047	latent_space	1
468,2172	latent_space	2
468,3346	latent_space	0
468,1781	latent_space	2
468,4140	latent_space	2
468,2278	latent_space	3
468,2347	latent_space	1
1596,3941	latent_space	3
1596,2917	latent_space	1
1580,2566	latent_space	3
2933,1752	latent_space	0
3056,833	latent_space	3
573,470	latent_space	3
573,4020	latent_space	1
3353,2348	latent_space	3
605,2469	latent_space	0
605,1392	latent_space	0
2839,1882	latent_space	1
2839,2197	latent_space	0
2839,2826	latent_space	2
2839,4202	latent_space	1
2839,2861	latent_space	2
2139,3696	latent_space	1
2139,2742	latent_space	2
2139,1516	latent_space	3
2139,3011	latent_space	3
2139,3027	latent_space	2
2139,2922	latent_space	3
2139,2277	latent_space	0
1415,1786	latent_space	2
1415,186	latent_space	3
1415,2949	latent_space	1
1415,1802	latent_space	3
1253,1738	latent_space	2
1253,2664	latent_space	2
1582,1447	latent_space	3
3962,1633	latent_space	2
2376,881	latent_space	1
2376,2134	latent_space	1
2376,2329	latent_space	2
2376,2670	latent_space	0
2376,4221	latent_space	1
2376,3497	latent_space	3
2376,3712	latent_space	3
2376,1837	latent_space	0
3240,3137	latent_space	3
3602,2420	latent_space	1
3602,355	latent_space	2
1138,1607	latent_space	1
523,1459	latent_space	0
1076,647	latent_space	2
3894,2676	latent_space	3
3894,3598	latent_space	2
3894,2938	latent_space	3
3894,2169	latent_space	1
3894,3472	latent_space	1
3894,740	latent_space	2
3894,559	latent_space	3
3024,3049	latent_space	0
3024,2127	latent_space	3
3024,3105	latent_space	3
3024,2631	latent_space	2
1917,3821	latent_space	1
1917,2363	latent_space	2
1917,1469	latent_space	0
480,2594	latent_space	2
480,3803	latent_space	2
480,2787	latent_space	0
480,789	latent_space	0
480,3798	latent_space	1
480,4101	latent_space	1
3110,1218	latent_space	1
1558,732	latent_space	2
1558,686	latent_space	3
2103,3842	latent_space	0
2103,2800	latent_space	1
2103,2848	latent_space	2
2103,2884	latent_space	3
2103,3400	latent_space	1
2103,2283	latent_space	0
2103,3799	latent_space	1
2103,1908	latent_space	2
2103,2985	latent_space	2
2103,2583	latent_space	2
3444,3125	latent_space	3
636,4214	latent_space	1
636,3154	latent_space	3
636,3565	latent_space	3
2215,3272	latent_space	0
3878,2765	latent_space	1
