node1,node2	space	relation_type
1820,1824	latent_space	0
2409,1018	latent_space	1
2409,1016	latent_space	3
2409,2410	latent_space	0
2409,1015	latent_space	3
2409,1017	latent_space	3
2409,631	latent_space	1
319,2004	latent_space	1
724,2932	latent_space	0
508,709	latent_space	3
1728,1729	latent_space	1
2926,2356	latent_space	2
1476,1475	latent_space	0
1476,1261	latent_space	3
2306,2844	latent_space	3
2306,2030	latent_space	3
2306,2302	latent_space	0
2306,1166	latent_space	0
2306,1167	latent_space	0
2306,1197	latent_space	0
2967,1301	latent_space	3
2967,2819	latent_space	3
2159,2164	latent_space	3
2159,2160	latent_space	2
2159,2165	latent_space	0
2159,2163	latent_space	3
2159,2158	latent_space	0
2159,2162	latent_space	3
2159,2161	latent_space	3
1697,2557	latent_space	3
1697,1698	latent_space	1
1089,2466	latent_space	1
363,115	latent_space	1
2527,2529	latent_space	3
116,50	latent_space	0
2243,2244	latent_space	2
2429,2430	latent_space	3
2429,2920	latent_space	1
2429,1871	latent_space	3
2429,1870	latent_space	2
2429,532	latent_space	0
2075,2097	latent_space	2
2275,2274	latent_space	0
2275,2273	latent_space	0
2275,2786	latent_space	0
316,177	latent_space	3
639,465	latent_space	2
639,570	latent_space	3
2822,2824	latent_space	3
1989,1778	latent_space	0
1989,3	latent_space	3
1989,2580	latent_space	2
1989,2884	latent_space	2
1989,1779	latent_space	3
1710,1733	latent_space	0
1710,2622	latent_space	3
1710,1709	latent_space	3
1710,2263	latent_space	3
1600,6	latent_space	1
1600,1613	latent_space	1
2291,2283	latent_space	3
2291,2284	latent_space	3
2291,2281	latent_space	3
2291,2290	latent_space	3
2291,2295	latent_space	0
957,956	latent_space	1
957,2724	latent_space	2
957,958	latent_space	1
1203,1206	latent_space	3
2511,478	latent_space	1
2511,2512	latent_space	0
2511,626	latent_space	1
2511,542	latent_space	1
496,2167	latent_space	3
2146,1480	latent_space	0
2861,2470	latent_space	3
2893,677	latent_space	2
2893,2894	latent_space	1
2725,677	latent_space	1
2725,586	latent_space	2
2725,531	latent_space	2
2725,584	latent_space	2
2820,2992	latent_space	3
2771,1105	latent_space	3
2771,1969	latent_space	3
2771,2636	latent_space	3
1375,1410	latent_space	1
1375,1422	latent_space	1
1002,1003	latent_space	3
838,842	latent_space	3
1472,1111	latent_space	0
1156,1217	latent_space	1
1156,2073	latent_space	1
1156,1218	latent_space	1
1156,1219	latent_space	2
1156,976	latent_space	3
893,945	latent_space	0
893,947	latent_space	3
893,939	latent_space	3
2806,1734	latent_space	3
2806,2809	latent_space	3
2806,2732	latent_space	3
2806,1735	latent_space	3
2806,2808	latent_space	3
2806,2807	latent_space	0
2806,1736	latent_space	3
2335,2336	latent_space	1
2335,2349	latent_space	1
2786,2274	latent_space	3
2786,2273	latent_space	0
2786,2275	latent_space	3
167,112	latent_space	3
1439,537	latent_space	3
1439,538	latent_space	3
1930,547	latent_space	2
441,412	latent_space	0
441,414	latent_space	2
441,438	latent_space	1
2515,1561	latent_space	0
2515,1558	latent_space	3
2515,1559	latent_space	2
2515,1560	latent_space	2
2395,2394	latent_space	2
2395,870	latent_space	3
2035,1725	latent_space	1
2035,2036	latent_space	2
2347,2346	latent_space	2
1848,38	latent_space	3
1848,1895	latent_space	3
1848,1847	latent_space	3
2078,1093	latent_space	3
2078,1098	latent_space	0
2078,1094	latent_space	3
2078,1096	latent_space	3
870,2395	latent_space	0
1903,1832	latent_space	3
828,823	latent_space	2
828,829	latent_space	0
828,2216	latent_space	2
2754,2670	latent_space	2
2754,2716	latent_space	2
2754,2717	latent_space	2
2754,2810	latent_space	1
2754,2669	latent_space	2
2754,1753	latent_space	2
2754,1752	latent_space	2
2754,2718	latent_space	2
2920,2429	latent_space	2
2920,2430	latent_space	2
2920,1871	latent_space	2
2920,1870	latent_space	2
2920,532	latent_space	0
2048,1874	latent_space	3
2048,2069	latent_space	0
2048,2049	latent_space	3
1450,2073	latent_space	2
1450,1218	latent_space	2
1450,1220	latent_space	1
1450,1217	latent_space	2
2712,1739	latent_space	3
2712,1740	latent_space	3
2712,1747	latent_space	0
2712,2730	latent_space	3
2712,1720	latent_space	3
2712,1719	latent_space	3
409,411	latent_space	1
409,608	latent_space	1
1373,1409	latent_space	0
1373,1371	latent_space	2
1373,1372	latent_space	2
2936,2937	latent_space	1
601,498	latent_space	0
2167,496	latent_space	0
1841,1842	latent_space	0
598,673	latent_space	2
598,565	latent_space	1
598,455	latent_space	2
2746,2745	latent_space	0
2669,2716	latent_space	2
2669,2717	latent_space	2
2669,2810	latent_space	1
2669,2754	latent_space	1
2669,1753	latent_space	1
2669,1752	latent_space	1
2669,2718	latent_space	2
2858,1565	latent_space	2
2858,1491	latent_space	3
538,1439	latent_space	0
538,537	latent_space	1
969,970	latent_space	3
2901,1104	latent_space	0
2901,2489	latent_space	0
2901,1101	latent_space	0
2901,1103	latent_space	0
2901,2903	latent_space	3
2901,1102	latent_space	0
978,48	latent_space	0
557,2002	latent_space	1
557,559	latent_space	1
696,688	latent_space	3
96,97	latent_space	3
96,1902	latent_space	3
2853,422	latent_space	2
2853,2850	latent_space	2
2853,2854	latent_space	3
2853,1314	latent_space	2
2853,2851	latent_space	3
2853,2852	latent_space	3
2853,2855	latent_space	3
2230,2530	latent_space	0
2230,2231	latent_space	0
1444,1459	latent_space	1
1444,1443	latent_space	2
1369,1370	latent_space	1
1369,1398	latent_space	1
1369,2199	latent_space	2
1626,1741	latent_space	2
2295,2283	latent_space	3
2295,2290	latent_space	3
2295,2291	latent_space	3
2295,2284	latent_space	3
2896,2889	latent_space	3
2896,2890	latent_space	3
2896,2897	latent_space	0
2896,2887	latent_space	2
2896,2905	latent_space	3
1180,1179	latent_space	0
1180,1181	latent_space	3
1180,1290	latent_space	0
788,789	latent_space	2
702,703	latent_space	0
702,750	latent_space	0
1660,1529	latent_space	2
2847,2628	latent_space	0
1603,2661	latent_space	2
2939,2938	latent_space	2
2939,1434	latent_space	2
1558,1559	latent_space	0
1558,2515	latent_space	0
1558,1560	latent_space	0
2753,2752	latent_space	3
2753,2520	latent_space	3
2753,2521	latent_space	3
566,565	latent_space	2
2178,764	latent_space	1
2239,2206	latent_space	0
2239,2204	latent_space	0
692,2741	latent_space	3
692,680	latent_space	3
692,679	latent_space	0
1643,1644	latent_space	0
1643,1645	latent_space	0
1643,2142	latent_space	0
2805,6	latent_space	2
2805,2796	latent_space	1
2805,2795	latent_space	1
2805,1612	latent_space	3
1335,1438	latent_space	0
1335,1334	latent_space	3
611,683	latent_space	1
2225,2224	latent_space	0
2225,2221	latent_space	0
626,478	latent_space	1
626,2512	latent_space	2
626,2511	latent_space	2
626,542	latent_space	1
1858,1859	latent_space	1
1858,1857	latent_space	3
859,860	latent_space	1
2787,2121	latent_space	3
2787,411	latent_space	3
2787,2122	latent_space	3
2787,658	latent_space	0
2535,2803	latent_space	2
2535,2536	latent_space	2
2305,615	latent_space	1
2305,2542	latent_space	2
2589,2483	latent_space	3
1870,2429	latent_space	1
1870,2430	latent_space	1
1870,2431	latent_space	2
1870,2920	latent_space	1
1870,2428	latent_space	2
2659,1487	latent_space	2
2905,2889	latent_space	0
2905,2890	latent_space	2
2905,2897	latent_space	0
2905,2896	latent_space	0
2510,2911	latent_space	2
2510,2910	latent_space	0
1172,1201	latent_space	2
1172,1171	latent_space	1
1250,1251	latent_space	0
1250,1396	latent_space	0
1250,2687	latent_space	0
